"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"ฮ้า ฮ่า ฮาฮ่าฮ่าฮาฮะฮะฮ่ะฮ่ะฮ่ะฮ่ะ!"
"[english]dota_chatwheel_label_bloodseeker_laugh"	"Laugh"
"dota_chatwheel_message_bloodseeker_thank"	"เลือดเต็มไปหมด"
"[english]dota_chatwheel_message_bloodseeker_thank"	"So much blood."
"dota_chatwheel_label_bloodseeker_thank"	"เลือดเต็มไปหมด"
"[english]dota_chatwheel_label_bloodseeker_thank"	"So much blood."
"dota_chatwheel_message_bloodseeker_deny"	"ไม่มีเลือดให้แกหรอก"
"[english]dota_chatwheel_message_bloodseeker_deny"	"No blood for you."
"dota_chatwheel_label_bloodseeker_deny"	"ไม่มีเลือดให้แกหรอก"
"[english]dota_chatwheel_label_bloodseeker_deny"	"No blood for you."
"dota_chatwheel_message_bloodseeker_1"	"ข้าเห็นสีแดง...มันน่าลิ้มลองมาก!"
"[english]dota_chatwheel_message_bloodseeker_1"	"I'm seeing red...and it's amazing!"
"dota_chatwheel_label_bloodseeker_1"	"ข้าเห็นสีแดง...มันน่าลิ้มลองมาก!"
"[english]dota_chatwheel_label_bloodseeker_1"	"I'm seeing red...and it's amazing!"
"dota_chatwheel_message_bloodseeker_2"	"อย่าได้อคติ...แกมีสติซะเถอะ"
"[english]dota_chatwheel_message_bloodseeker_2"	"Don't be negative...be positive."
"dota_chatwheel_label_bloodseeker_2"	"อย่าได้อคติ..."
"[english]dota_chatwheel_label_bloodseeker_2"	"Don't be negative..."
"dota_chatwheel_message_bloodseeker_3"	"วิ่งสิ...วิ่ง"
"[english]dota_chatwheel_message_bloodseeker_3"	"Go ahead...run."
"dota_chatwheel_label_bloodseeker_3"	"วิ่งสิ...วิ่ง"
"[english]dota_chatwheel_label_bloodseeker_3"	"Go ahead...run."
"dota_chatwheel_message_bloodseeker_4"	"นอนพักไปก่อน...ยังไม่ต้องรีบ"
"[english]dota_chatwheel_message_bloodseeker_4"	"Lie down...have a cookie."
"dota_chatwheel_label_bloodseeker_4"	"นอนพักไปก่อน...ยังไม่ต้องรีบ"
"[english]dota_chatwheel_label_bloodseeker_4"	"Lie down...have a cookie."
"dota_chatwheel_message_bloodseeker_5"	"ทั่วทั้งสนามรบ กลิ่นเลือดช่างอบอวลสมคำร่ำลือ"
"[english]dota_chatwheel_message_bloodseeker_5"	"Over the field of battle, the smell of blood rises like a promise."
"dota_chatwheel_label_bloodseeker_5"	"ทั่วทั้งสนามรบ..."
"[english]dota_chatwheel_label_bloodseeker_5"	"Over the field of battle..."
"dota_chatwheel_message_crystal_maiden_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_crystal_maiden_laugh"	"Ah ha ha ha ha ha."
"dota_chatwheel_label_crystal_maiden_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_crystal_maiden_laugh"	"Laugh"
"dota_chatwheel_message_crystal_maiden_thank"	"คุณนี่เย็นได้ใจ!"
"[english]dota_chatwheel_message_crystal_maiden_thank"	"Very cool of you!"
"dota_chatwheel_label_crystal_maiden_thank"	"คุณนี่เย็นได้ใจ!"
"[english]dota_chatwheel_label_crystal_maiden_thank"	"Very cool of you!"
"dota_chatwheel_message_crystal_maiden_deny"	"คราวนี้ก็ไม่มีใครชนะ!"
"[english]dota_chatwheel_message_crystal_maiden_deny"	"Now nobody wins!"
"dota_chatwheel_label_crystal_maiden_deny"	"คราวนี้ก็ไม่มีใครชนะ!"
"[english]dota_chatwheel_label_crystal_maiden_deny"	"Now nobody wins!"
"dota_chatwheel_message_crystal_maiden_1"	"คุณจะได้ไปทำท่านางฟ้าหิมะสวย ๆ"
"[english]dota_chatwheel_message_crystal_maiden_1"	"You'll make a nice snow angel."
"dota_chatwheel_label_crystal_maiden_1"	"คุณจะได้ไปทำท่านางฟ้าหิมะสวย ๆ"
"[english]dota_chatwheel_label_crystal_maiden_1"	"You'll make a nice snow angel."
"dota_chatwheel_message_crystal_maiden_2"	"ขนลุกแล้วค่ะ!"
"[english]dota_chatwheel_message_crystal_maiden_2"	"I've got goosebumps!"
"dota_chatwheel_label_crystal_maiden_2"	"ขนลุกแล้วค่ะ!"
"[english]dota_chatwheel_label_crystal_maiden_2"	"I've got goosebumps!"
"dota_chatwheel_message_crystal_maiden_3"	"ฉันไม่รู้เลยว่าจะเกิดขึ้น"
"[english]dota_chatwheel_message_crystal_maiden_3"	"I didn't see that coming."
"dota_chatwheel_label_crystal_maiden_3"	"ฉันไม่รู้เลยว่าจะเกิดขึ้น"
"[english]dota_chatwheel_label_crystal_maiden_3"	"I didn't see that coming."
"dota_chatwheel_message_crystal_maiden_4"	"มันก็จะดีขึ้นเรื่อย ๆ"
"[english]dota_chatwheel_message_crystal_maiden_4"	"It just keeps getting better."
"dota_chatwheel_label_crystal_maiden_4"	"มันก็จะดีขึ้นเรื่อย ๆ"
"[english]dota_chatwheel_label_crystal_maiden_4"	"It just keeps getting better."
"dota_chatwheel_message_crystal_maiden_5"	"มีใครคิดว่าในนี้หนาวบ้างไหม หรือว่าแค่ฉันคนเดียว?"
"[english]dota_chatwheel_message_crystal_maiden_5"	"Is it cold in here or is it just me?"
"dota_chatwheel_label_crystal_maiden_5"	"มีใครคิดว่าในนี้หนาวบ้างไหม..."
"[english]dota_chatwheel_label_crystal_maiden_5"	"Is it cold in here or..."
"dota_chatwheel_message_drow_ranger_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_drow_ranger_laugh"	"Ah ha ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_drow_ranger_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_drow_ranger_laugh"	"Laugh"
"dota_chatwheel_message_drow_ranger_thank"	"ชัยชนะอีกครั้ง!"
"[english]dota_chatwheel_message_drow_ranger_thank"	"Another triumph!"
"dota_chatwheel_label_drow_ranger_thank"	"ชัยชนะอีกครั้ง!"
"[english]dota_chatwheel_label_drow_ranger_thank"	"Another triumph!"
"dota_chatwheel_message_drow_ranger_deny"	"เจ้าน่าจะต้องทำได้ดีกว่านั้น!"
"[english]dota_chatwheel_message_drow_ranger_deny"	"You'll have to do better than that!"
"dota_chatwheel_label_drow_ranger_deny"	"เจ้าน่าจะต้องทำได้ดีกว่านั้น!"
"[english]dota_chatwheel_label_drow_ranger_deny"	"You'll have to do better than that!"
"dota_chatwheel_message_drow_ranger_1"	"เจ้าอยู่ไปก็หนวกหนู"
"[english]dota_chatwheel_message_drow_ranger_1"	"You were too noisy to live."
"dota_chatwheel_label_drow_ranger_1"	"เจ้าอยู่ไปก็หนวกหนู"
"[english]dota_chatwheel_label_drow_ranger_1"	"You were too noisy to live."
"dota_chatwheel_message_drow_ranger_2"	"อ่อนหัด"
"[english]dota_chatwheel_message_drow_ranger_2"	"Amateur."
"dota_chatwheel_label_drow_ranger_2"	"อ่อนหัด"
"[english]dota_chatwheel_label_drow_ranger_2"	"Amateur."
"dota_chatwheel_message_drow_ranger_3"	"มีแค่เจ้าที่ตาย"
"[english]dota_chatwheel_message_drow_ranger_3"	"You die alone."
"dota_chatwheel_label_drow_ranger_3"	"มีแค่เจ้าที่ตาย"
"[english]dota_chatwheel_label_drow_ranger_3"	"You die alone."
"dota_chatwheel_message_drow_ranger_4"	"เรื่องนี้ไม่น่ามีหนทางจบด้วยวิธีอื่นใด"
"[english]dota_chatwheel_message_drow_ranger_4"	"This couldn't have ended any other way."
"dota_chatwheel_label_drow_ranger_4"	"เรื่องนี้ไม่น่ามีหนทางจบ..."
"[english]dota_chatwheel_label_drow_ranger_4"	"This couldn't have ended..."
"dota_chatwheel_message_drow_ranger_5"	"กว่าจะตายได้สักที ข้าจะได้กราบเจ้าง่าย ๆ หน่อย"
"[english]dota_chatwheel_message_drow_ranger_5"	"Now that you're dead, I find it easy to respect you."
"dota_chatwheel_label_drow_ranger_5"	"กว่าจะตายได้สักที..."
"[english]dota_chatwheel_label_drow_ranger_5"	"Now that you're dead..."
"dota_chatwheel_message_earthshaker_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_earthshaker_laugh"	"Ha ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_earthshaker_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_earthshaker_laugh"	"Laugh"
"dota_chatwheel_message_earthshaker_thank"	"มาสะเทือนโลกกัน!"
"[english]dota_chatwheel_message_earthshaker_thank"	"Let's shake things up!"
"dota_chatwheel_label_earthshaker_thank"	"มาสะเทือนโลกกัน!"
"[english]dota_chatwheel_label_earthshaker_thank"	"Let's shake things up!"
"dota_chatwheel_message_earthshaker_deny"	"น่าตะลึง..."
"[english]dota_chatwheel_message_earthshaker_deny"	"Shocking..."
"dota_chatwheel_label_earthshaker_deny"	"น่าตะลึง..."
"[english]dota_chatwheel_label_earthshaker_deny"	"Shocking..."
"dota_chatwheel_message_earthshaker_1"	"มันเป็นความผิดที่เจ้าก่อเอง"
"[english]dota_chatwheel_message_earthshaker_1"	"It was your own damn fault."
"dota_chatwheel_label_earthshaker_1"	"มันเป็นความผิดที่เจ้าก่อเอง"
"[english]dota_chatwheel_label_earthshaker_1"	"It was your own damn fault."
"dota_chatwheel_message_earthshaker_2"	"โอ้ว... ตามมาอีกระลอก..."
"[english]dota_chatwheel_message_earthshaker_2"	"Whoa... Aftershocks..."
"dota_chatwheel_label_earthshaker_2"	"โอ้ว... ตามมาอีกระลอก..."
"[english]dota_chatwheel_label_earthshaker_2"	"Whoa... Aftershocks..."
"dota_chatwheel_message_earthshaker_3"	"ทุบ...ไม่โดน?"
"[english]dota_chatwheel_message_earthshaker_3"	"Slammin'...?"
"dota_chatwheel_label_earthshaker_3"	"ทุบ...ไม่โดน?"
"[english]dota_chatwheel_label_earthshaker_3"	"Slammin'...?"
"dota_chatwheel_message_earthshaker_4"	"มันชักจะอึดอัดเกินไปหน่อย"
"[english]dota_chatwheel_message_earthshaker_4"	"It was getting far too crowded."
"dota_chatwheel_label_earthshaker_4"	"มันชักจะอึดอัดเกินไปหน่อย"
"[english]dota_chatwheel_label_earthshaker_4"	"It was getting far too crowded."
"dota_chatwheel_message_earthshaker_5"	"โลกอาจมีได้หลายดวง แต่ Earthshaker มีได้เพียงหนึ่งเดียว"
"[english]dota_chatwheel_message_earthshaker_5"	"There may be many earths, but there's only one Earthshaker."
"dota_chatwheel_label_earthshaker_5"	"โลกอาจมีได้หลายดวง..."
"[english]dota_chatwheel_label_earthshaker_5"	"There may be many earths..."
"dota_chatwheel_message_juggernaut_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_juggernaut_laugh"	"Ha ha ha ha ha!"
"dota_chatwheel_label_juggernaut_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_juggernaut_laugh"	"Laugh"
"dota_chatwheel_message_juggernaut_thank"	"โอ้ เยี่ยมไปเลย"
"[english]dota_chatwheel_message_juggernaut_thank"	"Oh that's nice."
"dota_chatwheel_label_juggernaut_thank"	"โอ้ เยี่ยมไปเลย"
"[english]dota_chatwheel_label_juggernaut_thank"	"Oh that's nice."
"dota_chatwheel_message_juggernaut_deny"	"อืม ก็ดูดีนิ"
"[english]dota_chatwheel_message_juggernaut_deny"	"Hm, looking good."
"dota_chatwheel_label_juggernaut_deny"	"อืม ก็ดูดีนิ"
"[english]dota_chatwheel_label_juggernaut_deny"	"Hm, looking good."
"dota_chatwheel_message_juggernaut_1"	"เจ้าจะต้องอยู่คนเดียวตลอดไป"
"[english]dota_chatwheel_message_juggernaut_1"	"You will be forever alone."
"dota_chatwheel_label_juggernaut_1"	"เจ้าจะต้องอยู่คนเดียวตลอดไป"
"[english]dota_chatwheel_label_juggernaut_1"	"You will be forever alone."
"dota_chatwheel_message_juggernaut_2"	"ทุกอย่างกำลังลงตัว"
"[english]dota_chatwheel_message_juggernaut_2"	"It's all falling into place."
"dota_chatwheel_label_juggernaut_2"	"ทุกอย่างกำลังลงตัว"
"[english]dota_chatwheel_label_juggernaut_2"	"It's all falling into place."
"dota_chatwheel_message_juggernaut_3"	"ข้าจะกลับมาเคลียร์เรื่องนี้ทีหลัง"
"[english]dota_chatwheel_message_juggernaut_3"	"I'll be back to finish this later."
"dota_chatwheel_label_juggernaut_3"	"ข้าจะกลับมาเคลียร์เรื่องนี้ทีหลัง"
"[english]dota_chatwheel_label_juggernaut_3"	"I'll be back to finish this later."
"dota_chatwheel_message_juggernaut_4"	"มันมีเส้นบาง ๆ กั้นอยู่ระหว่าง กล้า กับ โง่"
"[english]dota_chatwheel_message_juggernaut_4"	"There's a fine line between bravery and stupidity."
"dota_chatwheel_label_juggernaut_4"	"มันมีเส้นบาง ๆ กั้นอยู่..."
"[english]dota_chatwheel_label_juggernaut_4"	"There's a fine line..."
"dota_chatwheel_message_juggernaut_5"	"อื้ม เด่นไม่เบา"
"[english]dota_chatwheel_message_juggernaut_5"	"Mm, snazzy."
"dota_chatwheel_label_juggernaut_5"	"อื้ม เด่นไม่เบา"
"[english]dota_chatwheel_label_juggernaut_5"	"Mm, snazzy."
"dota_chatwheel_message_mirana_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_mirana_laugh"	"Ha ha ha ha ha ha!"
"dota_chatwheel_label_mirana_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_mirana_laugh"	"Laugh"
"dota_chatwheel_message_mirana_thank"	"ของขวัญยามราตรี!"
"[english]dota_chatwheel_message_mirana_thank"	"A gift from the night!"
"dota_chatwheel_label_mirana_thank"	"ของขวัญยามราตรี!"
"[english]dota_chatwheel_label_mirana_thank"	"A gift from the night!"
"dota_chatwheel_message_mirana_deny"	"แน่จริงก็จับให้ได้!"
"[english]dota_chatwheel_message_mirana_deny"	"Catch us if you can!"
"dota_chatwheel_label_mirana_deny"	"แน่จริงก็จับให้ได้!"
"[english]dota_chatwheel_label_mirana_deny"	"Catch us if you can!"
"dota_chatwheel_message_mirana_1"	"เจ้านี่ไม่รู้จักจำ"
"[english]dota_chatwheel_message_mirana_1"	"You have learned nothing."
"dota_chatwheel_label_mirana_1"	"เจ้านี่ไม่รู้จักจำ"
"[english]dota_chatwheel_label_mirana_1"	"You have learned nothing."
"dota_chatwheel_message_mirana_2"	"ทำได้ดี!"
"[english]dota_chatwheel_message_mirana_2"	"Nicely done!"
"dota_chatwheel_label_mirana_2"	"ทำได้ดี!"
"[english]dota_chatwheel_label_mirana_2"	"Nicely done!"
"dota_chatwheel_message_mirana_3"	"วิ่งหนีไปอย่างกับหมา!"
"[english]dota_chatwheel_message_mirana_3"	"Run like the dogs you are!"
"dota_chatwheel_label_mirana_3"	"วิ่งหนีไปอย่างกับหมา!"
"[english]dota_chatwheel_label_mirana_3"	"Run like the dogs you are!"
"dota_chatwheel_message_mirana_4"	"ตรงนี้ เหมี๋ยว-เหมียว-เหมียว...."
"[english]dota_chatwheel_message_mirana_4"	"Here, kitty-kitty-kitty...."
"dota_chatwheel_label_mirana_4"	"ตรงนี้ เหมี๋ยว-เหมียว-เหมียว...."
"[english]dota_chatwheel_label_mirana_4"	"Here, kitty-kitty-kitty...."
"dota_chatwheel_message_mirana_5"	"โชคช่วยซะที่ไหน ฝีมือต่างหาก!"
"[english]dota_chatwheel_message_mirana_5"	"It was not luck but skill!"
"dota_chatwheel_label_mirana_5"	"โชคช่วยซะที่ไหน ฝีมือต่างหาก!"
"[english]dota_chatwheel_label_mirana_5"	"It was not luck but skill!"
"dota_chatwheel_message_morphling_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_morphling_laugh"	"Ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_morphling_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_morphling_laugh"	"Laugh"
"dota_chatwheel_message_morphling_thank"	"ข้าชอบสิ่งที่ข้าเห็น"
"[english]dota_chatwheel_message_morphling_thank"	"I like what I see."
"dota_chatwheel_label_morphling_thank"	"ข้าชอบสิ่งที่ข้าเห็น"
"[english]dota_chatwheel_label_morphling_thank"	"I like what I see."
"dota_chatwheel_message_morphling_deny"	"เจ้านี่ยากเกินกว่าจะเข้าใจ"
"[english]dota_chatwheel_message_morphling_deny"	"You're in over your head."
"dota_chatwheel_label_morphling_deny"	"เจ้านี่ยากเกินกว่าจะเข้าใจ"
"[english]dota_chatwheel_label_morphling_deny"	"You're in over your head."
"dota_chatwheel_message_morphling_1"	"กำลังเดือดได้ที่!"
"[english]dota_chatwheel_message_morphling_1"	"Boiling rage!"
"dota_chatwheel_label_morphling_1"	"กำลังเดือดได้ที่!"
"[english]dota_chatwheel_label_morphling_1"	"Boiling rage!"
"dota_chatwheel_message_morphling_2"	"สดใสอยู่เสมอ"
"[english]dota_chatwheel_message_morphling_2"	"Always refreshing."
"dota_chatwheel_label_morphling_2"	"สดใสอยู่เสมอ"
"[english]dota_chatwheel_label_morphling_2"	"Always refreshing."
"dota_chatwheel_message_morphling_3"	"สถานการณ์ซัดกลับไปอีกฝั่ง!"
"[english]dota_chatwheel_message_morphling_3"	"The tide has turned!"
"dota_chatwheel_label_morphling_3"	"สถานการณ์ซัดกลับไปอีกฝั่ง!"
"[english]dota_chatwheel_label_morphling_3"	"The tide has turned!"
"dota_chatwheel_message_morphling_4"	"มองไม่เห็นคลื่นน้ำข้าหรือ?"
"[english]dota_chatwheel_message_morphling_4"	"Didn't you see me waving?"
"dota_chatwheel_label_morphling_4"	"มองไม่เห็นคลื่นน้ำข้าหรือ?"
"[english]dota_chatwheel_label_morphling_4"	"Didn't you see me waving?"
"dota_chatwheel_message_morphling_5"	"เจ้าช่างเหลวแหลก!"
"[english]dota_chatwheel_message_morphling_5"	"You're washed up!"
"dota_chatwheel_label_morphling_5"	"เจ้าช่างเหลวแหลก!"
"[english]dota_chatwheel_label_morphling_5"	"You're washed up!"
"dota_chatwheel_message_nevermore_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_nevermore_laugh"	"Ah ha ha ha ha ha!"
"dota_chatwheel_label_nevermore_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_nevermore_laugh"	"Laugh"
"dota_chatwheel_message_nevermore_thank"	"ขอวิญญาณยังสถิตอยู่กับเจ้า"
"[english]dota_chatwheel_message_nevermore_thank"	"Well bless your soul."
"dota_chatwheel_label_nevermore_thank"	"ขอวิญญาณยังสถิตอยู่กับเจ้า"
"[english]dota_chatwheel_label_nevermore_thank"	"Well bless your soul."
"dota_chatwheel_message_nevermore_deny"	"ข้าเหนือกว่า"
"[english]dota_chatwheel_message_nevermore_deny"	"Outplayed."
"dota_chatwheel_label_nevermore_deny"	"ข้าเหนือกว่า"
"[english]dota_chatwheel_label_nevermore_deny"	"Outplayed."
"dota_chatwheel_message_nevermore_1"	"วิญญาณงดงามควรค่าแก่การสะสม"
"[english]dota_chatwheel_message_nevermore_1"	"A beautiful soul for my collection."
"dota_chatwheel_label_nevermore_1"	"วิญญาณงดงามควรค่าแก่การสะสม"
"[english]dota_chatwheel_label_nevermore_1"	"A beautiful soul for my collection."
"dota_chatwheel_message_nevermore_2"	"จงหวาดเกรงการปรากฏกายของข้า"
