"lang"
{
"Language"	"norwegian"
"DOTA_Item_Tidehunters_Bracer"	"Tidehunters armbeskytter"
"DOTA_Item_Tidehunters_Belt"	"Tidehunters belte"
"DOTA_Item_Tidehunters_Anchor"	"Tidehunters anker"
"DOTA_Item_Tidehunters_Lunch"	"Tidehunters lunsj"
"DOTA_Wearable_CrystalMaiden_Default_Cape"	"Crystal Maidens kappe"
"DOTA_Wearable_CrystalMaiden_Default_Shoulder_Pads"	"Crystal Maidens skulderputer"
"DOTA_Wearable_CrystalMaiden_Default_Weapon"	"Crystal Maidens våpen"
"DOTA_Wearable_CrystalMaiden_Default_Boots_and_Cuffs"	"Crystal Maidens støvler & mansjett"
"DOTA_Item_Omniknights_Shoulders"	"Omniknights skuldre"
"DOTA_Item_Omniknights_Cape"	"Omniknights kappe"
"DOTA_Item_Omniknights_Weapon"	"Omniknights våpen"
"DOTA_Item_Desc_Omniknights_Hammer"	"Omniknights gamle hammer"
"DOTA_Item_Omniknights_Head"	"Omniknights hode"
"DOTA_Item_Omniknights_Hair"	"Omniknights hår"
"DOTA_Item_Pudges_Rusty_Meathook"	"Pudges rustne kjøttkrok"
"DOTA_Item_Desc_Rusty_Meathook"	"En rusten og grusom kjøttkrok."
"DOTA_Item_Invokers_Cape"	"Invokers kappe"
"DOTA_Item_Prophets_Bracers"	"Prophet's Bracers"
"DOTA_Item_Desc_Copy_of_Prophets_Horns"	" 

"
"DOTA_Item_Bounty_Hunters_Weapon"	"Bounty Hunters våpen"
"DOTA_Item_Desc_Unnamed_New_Item"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Bounty_Hunters_Offhand_Weapon"	"Bounty Hunters sekundærvåpen"
"DOTA_Item_Desc_Copy_of_RWeapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Bounty_Hunters_Back"	"Bounty Hunters rygg"
"DOTA_Item_Desc_Copy_of_LWeapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Armor"	"Bounty Hunter's Armor"
"DOTA_Item_Desc_Copy_of_Backpack"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Bounty_Hunters_Shoulder"	"Bounty Hunters skulder"
"DOTA_Item_Desc_Copy_of_Armor"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Bounty_Hunters_Bandana"	"Bounty Hunters tørkle"
"DOTA_Item_Desc_Copy_of_BWeapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Clinkz_Skull"	"Clinkz' hodeskalle"
"DOTA_Item_Desc_Clinkz_Skull"	"Clinkz standardskalle"
"DOTA_Item_Clinkz_Bow"	"Clinkz' bue"
"DOTA_Item_Desc_Clinkz_Bow"	"Clinkz standardbue"
"DOTA_Item_Clinkz_Shoulder_Pads"	"Clinkz' skulderputer"
"DOTA_Item_Desc_Clinkz_Shoulder_Pads"	"Clinkz standardskulderputer"
"DOTA_Item_Clinkz_Quiver"	"Clinkz' kogger"
"DOTA_Item_Desc_Clinkz_Quiver"	"Clinkz standardpilkogger"
"DOTA_Item_Clinkz_Horns"	"Clinkz' horn"
"DOTA_Item_Desc_Clinkz_Horns"	"Clinkz standardhorn"
"DOTA_Item_Clinkz_Gloves"	"Clinkz' hansker"
"DOTA_Item_Desc_Copy_of_Clinkz_Skull"	"Clinkz standardskalle"
"DOTA_Wearable_Jugg_DefaultLegs"	"Juggernauts bein"
"DOTA_Item_Dragon_Knights_Helmet"	"Dragon Knights hjelm"
"DOTA_Item_Desc_Copy_of_Juggernauts_Legs"	" 
"
"DOTA_Item_Dragon_Knights_Shoulder_Armor"	"Dragon Knights skulderrustning"
"DOTA_Item_Dragon_Knights_Bracers"	"Dragon Knights armbeskyttere"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Shoulder_Armor"	" 

"
"DOTA_Item_Dragon_Knights_Weapon"	"Dragon Knights våpen"
"DOTA_Item_Dragon_Knights_Offhand"	"Dragon Knights sekundære"
"DOTA_Item_Dragon_Knights_Skirt"	"Dragon Knights skjørt"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Offhand"	" 

"
"DOTA_Item_Blood_Seekers_Weapon"	"Bloodseekers våpen"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Skirt"	" 

"
"DOTA_Item_Blood_Seekers_Headdress"	"Bloodseekers hodeplagg"
"DOTA_Item_Blood_Seekers_Offhand_Weapon"	"Bloodseekers sekundærvåpen"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Headdress"	" 

"
"DOTA_Item_Blood_Seekers_Necklace"	"Bloodseekers halskjede"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Offhand_Weapon"	" 

"
"DOTA_Item_Blood_Seekers_Cape"	"Bloodseekers kappe"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Necklace"	" 

"
"DOTA_Item_Blood_Seekers_Bracers"	"Bloodseekers armbeskyttere"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Cape"	" 
"
"DOTA_Item_Drows_Bracers"	"Drows armbeskyttere"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Bracers"	" 
"
"DOTA_Item_Drows_Cape"	"Drows kappe"
"DOTA_Item_Desc_Copy_of_Drows_Bracers"	" 
"
"DOTA_Item_Drows_Bow"	"Drows bue"
"DOTA_Item_Desc_Copy_of_Drows_Cape"	" 
"
"DOTA_Item_Drows_Leg_Armor"	"Drows beinrustning"
"DOTA_Item_Drows_Quiver"	"Drows kogger"
"DOTA_Item_Desc_Copy_of_Drows_Leg_Armor"	" 
"
"DOTA_Item_Drows_Shoulder_Armor"	"Drows skulderrustning"
"DOTA_Item_Desc_Copy_of_Drows_Quiver"	" 

"
"DOTA_Item_Kunkkas_Spyglass"	"Kunkkas kikkert"
"DOTA_Item_Desc_Copy_of_Kunkkas_Head"	" 
"
"DOTA_Item_Queen_of_Pains_Wings"	"Queen of Pains vinger"
"DOTA_Item_Desc_Copy_of_Queen_of_Pains_Weapon"	" 
"
"DOTA_Item_Queen_of_Pains_Armor"	"Queen of Pains rustning"
"DOTA_Item_Desc_Copy_of_Queen_of_Pains_Wings"	" 
"
"DOTA_Item_Queen_of_Pains_Hair"	"Queen of Pains hår"
"DOTA_Item_Desc_Copy_of_Queen_of_Pains_Armor"	" 

"
"DOTA_Item_Ursas_Helmet"	"Ursa's Helmet"
"DOTA_Item_Desc_Copy_of_Queen_of_Pains_Hair"	" 
"
"DOTA_Item_Ursas_Fur"	"Ursa's Fur"
"DOTA_Item_Desc_Copy_of_Ursas_Helmet"	" 
"
"DOTA_Item_Ursas_Bracers"	"Ursa's Bracers"
"DOTA_Item_Desc_Copy_of_Ursas_Fur"	" 
"
"DOTA_Item_Ursas_Skirt"	"Ursa's Skirt"
"DOTA_Item_Desc_Copy_of_Ursas_Bracers"	" 

"
"DOTA_Item_Invokers_Shoulder"	"Invokers skulder"
"DOTA_Item_Facelesss_Head"	"Faceless' hode"
"DOTA_Item_Facelesss_Shoulder"	"Faceless' skuldre"
"DOTA_Item_Facelesss_Bracer"	"Faceless' armbeskytter"
"DOTA_Item_Facelesss_Belt"	"Faceless' belte"
"DOTA_Item_Witch_Doctors_Head"	"Witch Doctors hode"
"DOTA_Item_Witch_Doctors_Bag"	"Witch Doctors taske"
"DOTA_Item_Witch_Doctors_Belt"	"Witch Doctors belte"
"DOTA_Item_Witch_Doctors_Staff"	"Witch Doctors stav"
"DOTA_Item_Invokers_Head"	"Invokers hode"
"DOTA_Item_Invokers_Hair"	"Invokers hår"
"DOTA_Item_Invokers_Bracer"	"Invokers armbeskytter"
"DOTA_Item_Broodmothers_Hair"	"Broodmothers hår"
"DOTA_Item_Broodmothers_Legs"	"Broodmothers bein"
"DOTA_Item_Broodmothers_Abdomen"	"Broodmothers mage"
"DOTA_Item_Meepos_Weapon"	"Meepos våpen"
"DOTA_Item_Ogremagis_Weapon"	"Ogremagi's Weapon"
"DOTA_Item_Desc_Copy_of_weapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Head"	"Spirit Breakers hode"
"DOTA_Item_Lone_Druids_Hair"	"Lone Druids hår"
"DOTA_Item_Desc_head"	"standardhår"
"DOTA_Item_Lone_Druids_Shoulder_Armor"	"Lone Druids skulderrustning"
"DOTA_Item_Desc_Lone_Druids_Shoulder_Armor"	"standardskulderbeskytter"
"DOTA_Item_Lone_Druids_Bracers"	"Lone Druids armbeskyttere"
"DOTA_Item_Desc_Lone_Druids_Bracers"	"standardarmgjenstand"
"DOTA_Item_Lone_Druids_Poncho"	"Lone Druids poncho"
"DOTA_Item_Desc_Lone_Druids_Poncho"	"standardkroppsgjenstand"
"DOTA_Item_Spirit_Breakers_Horns"	"Spirit Breakers horn"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Head"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Shoulder_Armor"	"Spirit Breakers skulderrustning"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Horns"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Mace"	"Spirit Breaker's Mace"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Shoulder_Armor"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Tail"	"Spirit Breakers hale"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Mace"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Bracers"	"Spirit Breakers armbeskyttere"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Tail"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Lower_Armor"	"Spirit Breakers nedre rustning"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Bracers"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Alchemists_Goblin_Body"	"Alchemists nissekropp"
"DOTA_Item_Alchemists_Weapon"	"Alchemists våpen"
"DOTA_Item_Alchemists_Saddle"	"Alchemists sal"
"DOTA_Item_Alchemists_Gauntlet"	"Alchemists stridshanske"
"DOTA_Item_Alchemists_Goblin_Hat"	"Alchemists nissehatt"
"DOTA_Item_Alchemists_Left_Bottle"	"Alchemists venstre flaske"
"DOTA_Item_Alchemists_Goblin_Head"	"Alchemists nissehode"
"DOTA_Item_Alchemists_Ogre_Head"	"Alchemists trollhode"
"DOTA_Item_Alchemists_Shoulder_Bottle"	"Alchemists skulderflaske"
"DOTA_Item_Phantom_Lancers_Legs"	"Phantom Lancers bein"
"DOTA_Item_Desc_Phantom_Lancers_Legs"	"Disse støvlene ble skapt for å gå med."
"DOTA_Item_Phantom_Lancers_Head"	"Phantom Lancers hode"
"DOTA_Item_Desc_Phantom_Lancers_Head"	"For å se og snakke. Det er et skjegg på det også.<br><br>standardgjenstand"
"DOTA_Item_Phantom_Lancers_Belt"	"Phantom Lancers belte"
"DOTA_Item_Desc_Phantom_Lancers_Belt"	"Han er den regjerende tungvektsmesteren.<br><br>standardgjenstand"
"DOTA_Item_Phantom_Lancers_Gauntlet"	"Phantom Lancers stridshanske"
"DOTA_Item_Desc_Phantom_Lancers_Gauntlet"	"Bare de tapreste krigerne har på seg kun én hanske i kamp.<br><br>standardgjenstand"
"DOTA_Item_Phantom_Lancers_Shoulderpad"	"Phantom Lancers skulderpute"
"DOTA_Item_Desc_Phantom_Lancers_Shoulderpad"	"Denne armbeskytteren gir beskyttelse mot alvorlige skader fra katteslagsmål.<br><br>standardgjenstand"
"DOTA_Item_Phantom_Lancers_Necklace"	"Phantom Lancers halskjede"
"DOTA_Item_Desc_Phantom_Lancers_Necklace"	"Selv krigere liker å føle seg stilige."
"DOTA_Item_Phantom_Lancers_Weapon"	"Phantom Lancers våpen"
"DOTA_Item_Desc_Phantom_Lancers_Weapon"	"Til å dolke med.<br><br>standardgjenstand"
"DOTA_Item_Ogremagis_Cape"	"Ogremagi's Cape"
"DOTA_Item_Desc_Copy_of_Ogremagis_Weapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Ogremagis_Bracers"	"Ogremagi's Bracers"
"DOTA_Item_Desc_Copy_of_Ogremagis_Cape"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Ogremagis_Hats"	"Ogremagi's Hats"
"DOTA_Item_Desc_Copy_of_Ogremagis_Bracers"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Ogremagis_Belt"	"Ogremagi's Belt"
"DOTA_Item_Desc_Copy_of_Ogremagis_Hats"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Wich_Doctors_Horn_Mask"	"Witch Doctor's Horn Mask"
"DOTA_Item_Pangolin_Shoulder_Armor"	"Pangolin Shoulder Armor"
"DOTA_Item_Desc_Pangolin_Shoulder_Armor"	"Mesterlig utformede skulderplater fra Pangolin-klanen. De gir styrken til stålrustninger til en brøkdel av vekten."
"DOTA_Item_Witch_Doctors_Ribcage_Backpack"	"Witch Doctor's Ribcage Backpack"
"DOTA_Item_The_Blood_Chaser"	"The Blood Chaser"
"DOTA_Item_Desc_The_Blood_Chaser"	"Et tredelt sammenlenket skaft med dobbeltbladet øksehode på toppen. Nesten like farlig for den som bærer den som for fienden."
"DOTA_Item_Timestopper"	"Timestopper"
"DOTA_Wearable_FacelessVoid_Timestopper_Desc"	"Dersom dine uutsigelige transdimensjonale makt over kronologi skulle feile i å stoppe fienden, forsøk å slå dem i hodet med denne solide klubben."
"DOTA_Wearable_Dazzle_TrolltoothNecklace"	"Trolltooth Necklace"
"DOTA_Wearable_Dazzle_TrolltoothNecklace_Desc"	"En nøye sammensatt samling av trolltenner. Hver tann inneholder den fangede sjelen til sin tidligere eier."
"DOTA_Item_Dragonclaw_Hook"	"Dragonclaw Hook"
"DOTA_Item_Desc_Dragonclaw_Hook"	"Kloen fra en svartdrages venstre tå. Den eneste delen av beistet som overlevde et møte med Pudges glupske apetitt."
"DOTA_Item_Demon_Blood_Helm"	"Demon Blood Helm"
"DOTA_Item_Desc_Demon_Blood_Helm"	"En hjelm som bærer det kyklopiske ansiktet til Tjernmennenes demoniske krigsgud. Det sies at den Røde Tåke utslettet guden og tok dens symboler som sine egne."
"DOTA_Wearable_Axe_Demon_Blood_Armor"	"Demon Blood Armor"
"DOTA_Item_Desc_Demon_Blood_Armor"	"Tung platerustning smidd i blodet til Tarnsmen-stammens døde guder."
"DOTA_Item_Demon_Blood_Guard"	"Demon Blood Guard"
"DOTA_Item_Desc_Demon_Blood_Guard"	"Når den Røde Tåke slukte de Tusen Tjern, ble innsjøene farget røde av blodet til de drepte. Mange demoner forkledd som lovmakere og prester i den fordømte sivilisasjonen ble også utslettet, og blodet deres blandet seg med blodet til de dødelige de en gang hersket over."
"DOTA_Wearable_Kunkka_Pegleg"	"Pegleg of the Cursed Pirate"
"DOTA_Item_Desc_Pegleg_of_the_Cursed_Pirate"	"Et tapt ben er ingen hindring for Kunkkas hevntørst."
"DOTA_Item_ThreeFold_Mien_of_the_Boar_God"	"Three-Fold Mien of the Boar God"
"DOTA_Item_Desc_ThreeFold_Mien_of_the_Boar_God"	"Villsvinets aspekt bringer helse, virilitet og iver. Det primitive tegnet til fire-syv-tolv."
"DOTA_Item_SevenSealed_the_Fur_Bracer"	"Seven-Sealed the Fur Bracer"
"DOTA_Item_Desc_SevenSealed_the_Fur_Bracer"	"Dette er kun en armbeskytter i pels. Den har ingen interessante aspekter og tilbyr ingen magisk beskyttelse. Allikevel bærer den et stort navn og illustrerer således hulheten i grunnløs stolthet."
"DOTA_Item_TwelveTusks_the_Cape_of_Boars"	"Twelve-Tusks the Cape of Boars"
"DOTA_Item_Desc_TwelveTusks_the_Cape_of_Boars"	"Her har vi ære ganger tolv. Som man ville prydet en verdig krigerkonge, hver tann et triumfsymbol."
"DOTA_Item_FourFangs_the_Swordbreaker"	"Four-Fangs the Swordbreaker"
"DOTA_Item_Desc_FourFangs_the_Swordbreaker"	"Hoggtennene på dette hissige sverdet vil bite seg dypt inn i din fiendes utsatte våpen!"
"DOTA_Wearable_Kunkka_Bandana"	"Pride of the Crew"
"DOTA_Item_Desc_Pride_of_the_Crew"	"Selv kapteinen må fra tid til annen hjelpe mannskapet med skipets daglige gjøremål."
"DOTA_Wearable_Kunkka_Bicorne_Hat"	"Royal Admiral's Bicorne"
"DOTA_Item_Desc_Royal_Admirals_Bicorne"	"En skipsmesters fine båthatt."
"DOTA_Wearable_Kunkka_Tricorne_Hat"	"Tricorne of the Drowned"
"DOTA_Item_Desc_Tricorne_of_the_Drowned"	"En vellaget trekanthatt kantet med gull."
"DOTA_Wearable_Kunkka_Wavecrester"	"Wavecrester"
"DOTA_Item_Desc_Wavecrester"	"En slitt og haket harpun, og arvestykke fra Kunkkas familie."
"DOTA_Item_Pact_of_GorThramak"	"Pact of Gor-Thramak"
"DOTA_Item_Desc_Pact_of_GorThramak"	"I reisene sine i Ytterverdenene, tilsynelatende på let etter mystiske gjenstander, har trollmannen Demnok Lannik skrevet under på mange mørke pakter. Utallige skrekkelige vesen skylder ham en tjeneste. Gor-Thramak, det blodige monster, er en slik skyldner. I nød så kan trollmannen tilkalle monsterets legemliggjøring – Rivebeistet – for å hjelpe med det tvilsomme arbeidet med slakt og kaos."
"DOTA_Wearable_Axe_Berserkers_Pauldron"	"Berserker's Pauldron"
"DOTA_Item_Desc_Berserkers_Pauldron"	"«Så mange skaller å knuse. Så mange lik å slenge på dyngen.»"
"DOTA_Wearable_Axe_Berserkers_Helm"	"Berserker's Helm"
"DOTA_Item_Desc_Berserkers_Helm"	"«Intet virke annet enn krig. Ingen familie annet enn døden. Ingen nåde annet enn graven!»"
"DOTA_Wearable_Axe_Berserkers_Belt"	"Berserker's Belt"
"DOTA_Item_Desc_Berserkers_Belt"	"«La blodbadet begynne.»"
"DOTA_Item_Coat_of_the_Elder_Grove"	"Coat of the Elder Grove"
"DOTA_Item_Desc_Coat_of_the_Elder_Grove"	"En frakk av løv, vanlig blant Verodicias druider, og nå brukt av naturens egen profet."
"DOTA_Item_Horns_of_the_Forest_Lord"	"Horns of the Forest Lord"
"DOTA_Item_Desc_Ceremonial_Horns"	"Legemliggjørelsen av naturens vrede kan ta hvilken som helst form han vil. Noen ganger velger han et tre, andre ganger et rovdyr, og når det passer ham også av og til et byttedyr."
"DOTA_Item_Toga_of_the_PeaceBringer"	"Toga of the Peace-Bringer"
"DOTA_Item_Desc_Toga_of_the_PeaceBringer"	"Ganske avslappende."
"DOTA_Item_Luxuriant_ChinFoliage"	"Luxuriant Chin-Foliage"
"DOTA_Item_Desc_Luxuriant_ChinFoliage"	"«La de som vil styre som grønne konger bære horn skjerpet med dømmekraft og visdom, og henge på hakene sine et mektig symbol på rangen sin.»"
"DOTA_Item_Horns_of_Noblesse"	"Horns of Noblesse"
"DOTA_Item_Desc_Horns_of_Noblesse"	"Et sett med horn verdige for en konge."
"DOTA_Item_Cape_of_Verdant_Dreaming"	"Cape of Verdant Dreaming"
