"lang"
{
"Language"	"norwegian"
"DOTA_Item_Tidehunters_Bracer"	"Tidehunters armbeskytter"
"DOTA_Item_Tidehunters_Belt"	"Tidehunters belte"
"DOTA_Item_Tidehunters_Anchor"	"Tidehunters anker"
"DOTA_Item_Tidehunters_Lunch"	"Tidehunters lunsj"
"DOTA_Wearable_CrystalMaiden_Default_Cape"	"Crystal Maidens kappe"
"DOTA_Wearable_CrystalMaiden_Default_Shoulder_Pads"	"Crystal Maidens skulderputer"
"DOTA_Wearable_CrystalMaiden_Default_Weapon"	"Crystal Maidens våpen"
"DOTA_Wearable_CrystalMaiden_Default_Boots_and_Cuffs"	"Crystal Maidens støvler & mansjett"
"DOTA_Item_Omniknights_Shoulders"	"Omniknights skuldre"
"DOTA_Item_Omniknights_Cape"	"Omniknights kappe"
"DOTA_Item_Omniknights_Weapon"	"Omniknights våpen"
"DOTA_Item_Desc_Omniknights_Hammer"	"Omniknights gamle hammer"
"DOTA_Item_Omniknights_Head"	"Omniknights hode"
"DOTA_Item_Omniknights_Hair"	"Omniknights hår"
"DOTA_Item_Pudges_Rusty_Meathook"	"Pudges rustne kjøttkrok"
"DOTA_Item_Desc_Rusty_Meathook"	"En rusten og grusom kjøttkrok."
"DOTA_Item_Invokers_Cape"	"Invoker's Cape"
"DOTA_Item_Prophets_Bracers"	"Prophet's Bracers"
"DOTA_Item_Desc_Copy_of_Prophets_Horns"	" 

"
"DOTA_Item_Bounty_Hunters_Weapon"	"Bounty Hunter's Weapon"
"DOTA_Item_Desc_Unnamed_New_Item"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Bounty_Hunters_Offhand_Weapon"	"Bounty Hunter's Offhand Weapon"
"DOTA_Item_Desc_Copy_of_RWeapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Bounty_Hunters_Back"	"Bounty Hunter's Back"
"DOTA_Item_Desc_Copy_of_LWeapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Armor"	"Bounty Hunter's Armor"
"DOTA_Item_Desc_Copy_of_Backpack"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Bounty_Hunters_Shoulder"	"Bounty Hunter's Shoulder"
"DOTA_Item_Desc_Copy_of_Armor"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Bounty_Hunters_Bandana"	"Bounty Hunter's Bandana"
"DOTA_Item_Desc_Copy_of_BWeapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Clinkz_Skull"	"Clinkz Skull"
"DOTA_Item_Desc_Clinkz_Skull"	"Clinkz standardskalle"
"DOTA_Item_Clinkz_Bow"	"Clinkz Bow"
"DOTA_Item_Desc_Clinkz_Bow"	"Clinkz standardbue"
"DOTA_Item_Clinkz_Shoulder_Pads"	"Clinkz Shoulder Pads"
"DOTA_Item_Desc_Clinkz_Shoulder_Pads"	"Clinkz standardskulderputer"
"DOTA_Item_Clinkz_Quiver"	"Clinkz Quiver"
"DOTA_Item_Desc_Clinkz_Quiver"	"Clinkz standardpilkogger"
"DOTA_Item_Clinkz_Horns"	"Clinkz Horns"
"DOTA_Item_Desc_Clinkz_Horns"	"Clinkz standardhorn"
"DOTA_Item_Clinkz_Gloves"	"Clinkz Gloves"
"DOTA_Item_Desc_Copy_of_Clinkz_Skull"	"Clinkz standardskalle"
"DOTA_Wearable_Jugg_DefaultLegs"	"Juggernauts bein"
"DOTA_Item_Dragon_Knights_Helmet"	"Dragon Knights hjelm"
"DOTA_Item_Desc_Copy_of_Juggernauts_Legs"	" 
"
"DOTA_Item_Dragon_Knights_Shoulder_Armor"	"Dragon Knights skulderrustning"
"DOTA_Item_Dragon_Knights_Bracers"	"Dragon Knights armbeskyttere"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Shoulder_Armor"	" 

"
"DOTA_Item_Dragon_Knights_Weapon"	"Dragon Knights våpen"
"DOTA_Item_Dragon_Knights_Offhand"	"Dragon Knights sekundærhånd"
"DOTA_Item_Dragon_Knights_Skirt"	"Dragon Knights skjørt"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Offhand"	" 

"
"DOTA_Item_Blood_Seekers_Weapon"	"Blood Seeker's Weapon"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Skirt"	" 

"
"DOTA_Item_Blood_Seekers_Headdress"	"Blood Seeker's Headdress"
"DOTA_Item_Blood_Seekers_Offhand_Weapon"	"Blood Seeker's Offhand Weapon"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Headdress"	" 

"
"DOTA_Item_Blood_Seekers_Necklace"	"Blood Seeker's Necklace"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Offhand_Weapon"	" 

"
"DOTA_Item_Blood_Seekers_Cape"	"Blood Seeker's Cape"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Necklace"	" 

"
"DOTA_Item_Blood_Seekers_Bracers"	"Blood Seeker's Bracers"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Cape"	" 
"
"DOTA_Item_Drows_Bracers"	"Drow's Bracers"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Bracers"	" 
"
"DOTA_Item_Drows_Cape"	"Drows kappe"
"DOTA_Item_Desc_Copy_of_Drows_Bracers"	" 
"
"DOTA_Item_Drows_Bow"	"Drow's Bow"
"DOTA_Item_Desc_Copy_of_Drows_Cape"	" 
"
"DOTA_Item_Drows_Leg_Armor"	"Drow's Leg Armor"
"DOTA_Item_Drows_Quiver"	"Drow's Quiver"
"DOTA_Item_Desc_Copy_of_Drows_Leg_Armor"	" 
"
"DOTA_Item_Drows_Shoulder_Armor"	"Drow's Shoulder Armor"
"DOTA_Item_Desc_Copy_of_Drows_Quiver"	" 

"
"DOTA_Item_Kunkkas_Spyglass"	"Kunkkas kikkert"
"DOTA_Item_Desc_Copy_of_Kunkkas_Head"	" 
"
"DOTA_Item_Queen_of_Pains_Wings"	"Queen of Pains vinger"
"DOTA_Item_Desc_Copy_of_Queen_of_Pains_Weapon"	" 
"
"DOTA_Item_Queen_of_Pains_Armor"	"Queen of Pain's Armor"
"DOTA_Item_Desc_Copy_of_Queen_of_Pains_Wings"	" 
"
"DOTA_Item_Queen_of_Pains_Hair"	"Queen of Pains hår"
"DOTA_Item_Desc_Copy_of_Queen_of_Pains_Armor"	" 

"
"DOTA_Item_Ursas_Helmet"	"Ursa's Helmet"
"DOTA_Item_Desc_Copy_of_Queen_of_Pains_Hair"	" 
"
"DOTA_Item_Ursas_Fur"	"Ursa's Fur"
"DOTA_Item_Desc_Copy_of_Ursas_Helmet"	" 
"
"DOTA_Item_Ursas_Bracers"	"Ursa's Bracers"
"DOTA_Item_Desc_Copy_of_Ursas_Fur"	" 
"
"DOTA_Item_Ursas_Skirt"	"Ursa's Skirt"
"DOTA_Item_Desc_Copy_of_Ursas_Bracers"	" 

"
"DOTA_Item_Invokers_Shoulder"	"Invoker's Shoulder"
"DOTA_Item_Facelesss_Head"	"Faceless's Head"
"DOTA_Item_Facelesss_Shoulder"	"Faceless's Shoulder"
"DOTA_Item_Facelesss_Bracer"	"Faceless's Bracer"
"DOTA_Item_Facelesss_Belt"	"Faceless's Belt"
"DOTA_Item_Witch_Doctors_Head"	"Witch Doctor's Head"
"DOTA_Item_Witch_Doctors_Bag"	"Witch Doctor's Bag"
"DOTA_Item_Witch_Doctors_Belt"	"Witch Doctor's Belt"
"DOTA_Item_Witch_Doctors_Staff"	"Witch Doctor's Staff"
"DOTA_Item_Invokers_Head"	"Invoker's Head"
"DOTA_Item_Invokers_Hair"	"Invoker's Hair"
"DOTA_Item_Invokers_Bracer"	"Invoker's Bracer"
"DOTA_Item_Broodmothers_Hair"	"Broodmother's Hair"
"DOTA_Item_Broodmothers_Legs"	"Broodmother's Legs"
"DOTA_Item_Broodmothers_Abdomen"	"Broodmother's Abdomen"
"DOTA_Item_Meepos_Weapon"	"Meepo's Weapon"
"DOTA_Item_Ogremagis_Weapon"	"Ogremagi's Weapon"
"DOTA_Item_Desc_Copy_of_weapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Head"	"Spirit Breakers hode"
"DOTA_Item_Lone_Druids_Hair"	"Lone Druid's Hair"
"DOTA_Item_Desc_head"	"standardhår"
"DOTA_Item_Lone_Druids_Shoulder_Armor"	"Lone Druid's Shoulder Armor"
"DOTA_Item_Desc_Lone_Druids_Shoulder_Armor"	"standardskulderbeskytter"
"DOTA_Item_Lone_Druids_Bracers"	"Lone Druid's Bracers"
"DOTA_Item_Desc_Lone_Druids_Bracers"	"standardarmgjenstand"
"DOTA_Item_Lone_Druids_Poncho"	"Lone Druid's Poncho"
"DOTA_Item_Desc_Lone_Druids_Poncho"	"standardkroppsgjenstand"
"DOTA_Item_Spirit_Breakers_Horns"	"Spirit Breakers horn"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Head"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Shoulder_Armor"	"Spirit Breakers skulderrustning"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Horns"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Mace"	"Spirit Breaker's Mace"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Shoulder_Armor"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Tail"	"Spirit Breakers hale"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Mace"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Bracers"	"Spirit Breakers armbeskyttere"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Tail"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Spirit_Breakers_Lower_Armor"	"Spirit Breakers nedre rustning"
"DOTA_Item_Desc_Copy_of_Spirit_Breakers_Bracers"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Alchemists_Goblin_Body"	"Alchemists nissekropp"
"DOTA_Item_Alchemists_Weapon"	"Alchemists våpen"
"DOTA_Item_Alchemists_Saddle"	"Alchemists sal"
"DOTA_Item_Alchemists_Gauntlet"	"Alchemists stridshanske"
"DOTA_Item_Alchemists_Goblin_Hat"	"Alchemists nissehatt"
"DOTA_Item_Alchemists_Left_Bottle"	"Alchemists venstre flaske"
"DOTA_Item_Alchemists_Goblin_Head"	"Alchemists nissehode"
"DOTA_Item_Alchemists_Ogre_Head"	"Alchemists trollhode"
"DOTA_Item_Alchemists_Shoulder_Bottle"	"Alchemists skulderflaske"
"DOTA_Item_Phantom_Lancers_Legs"	"Phantom Lancer's Legs"
"DOTA_Item_Desc_Phantom_Lancers_Legs"	"Disse støvlene ble skapt for å gå med."
"DOTA_Item_Phantom_Lancers_Head"	"Phantom Lancer's Head"
"DOTA_Item_Desc_Phantom_Lancers_Head"	"For å se og snakke. Det er et skjegg på det også.<br><br>standardgjenstand"
"DOTA_Item_Phantom_Lancers_Belt"	"Phantom Lancer's Belt"
"DOTA_Item_Desc_Phantom_Lancers_Belt"	"Han er den regjerende tungvektsmesteren.<br><br>standardgjenstand"
"DOTA_Item_Phantom_Lancers_Gauntlet"	"Phantom Lancer's Gauntlet"
"DOTA_Item_Desc_Phantom_Lancers_Gauntlet"	"Bare de tapreste krigerne har på seg kun én hanske i kamp.<br><br>standardgjenstand"
"DOTA_Item_Phantom_Lancers_Shoulderpad"	"Phantom Lancer's Shoulderpad"
"DOTA_Item_Desc_Phantom_Lancers_Shoulderpad"	"Denne armbeskytteren gir beskyttelse mot alvorlige skader fra katteslagsmål.<br><br>standardgjenstand"
"DOTA_Item_Phantom_Lancers_Necklace"	"Phantom Lancer's Necklace"
"DOTA_Item_Desc_Phantom_Lancers_Necklace"	"Selv krigere liker å føle seg stilige."
"DOTA_Item_Phantom_Lancers_Weapon"	"Phantom Lancer's Weapon"
"DOTA_Item_Desc_Phantom_Lancers_Weapon"	"Til å dolke med.<br><br>standardgjenstand"
"DOTA_Item_Ogremagis_Cape"	"Ogremagi's Cape"
"DOTA_Item_Desc_Copy_of_Ogremagis_Weapon"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Ogremagis_Bracers"	"Ogremagi's Bracers"
"DOTA_Item_Desc_Copy_of_Ogremagis_Cape"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Ogremagis_Hats"	"Ogremagi's Hats"
"DOTA_Item_Desc_Copy_of_Ogremagis_Bracers"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Ogremagis_Belt"	"Ogremagi's Belt"
"DOTA_Item_Desc_Copy_of_Ogremagis_Hats"	"Denne nye gjenstanden har ingen beskrivelse."
"DOTA_Item_Wich_Doctors_Horn_Mask"	"Witch Doctor's Horn Mask"
"DOTA_Item_Pangolin_Shoulder_Armor"	"Pangolin Shoulder Armor"
"DOTA_Item_Desc_Pangolin_Shoulder_Armor"	"Mesterlig utformede skulderplater fra Pangolin-klanen. De gir styrken til stålrustninger til en brøkdel av vekten."
"DOTA_Item_Witch_Doctors_Ribcage_Backpack"	"Witch Doctor's Ribcage Backpack"
"DOTA_Item_The_Blood_Chaser"	"The Blood Chaser"
"DOTA_Item_Desc_The_Blood_Chaser"	"Et tredelt sammenlenket skaft med dobbeltbladet øksehode på toppen. Nesten like farlig for den som bærer den som for fienden."
"DOTA_Item_Timestopper"	"Timestopper"
"DOTA_Wearable_FacelessVoid_Timestopper_Desc"	"Dersom dine uutsigelige transdimensjonale makt over kronologi skulle feile i å stoppe fienden, forsøk å slå dem i hodet med denne solide klubben."
"DOTA_Wearable_Dazzle_TrolltoothNecklace"	"Trolltooth Necklace"
"DOTA_Wearable_Dazzle_TrolltoothNecklace_Desc"	"En nøye sammensatt samling av trolltenner. Hver tann inneholder den fangede sjelen til dens tidligere eier."
"DOTA_Item_Dragonclaw_Hook"	"Dragonclaw Hook"
"DOTA_Item_Desc_Dragonclaw_Hook"	"Kloen fra en svartdrages venstre tå. Den eneste delen av beistet som overlevde et møte med Pudges glupske apetitt."
"DOTA_Item_Demon_Blood_Helm"	"Demon Blood Helm"
"DOTA_Item_Desc_Demon_Blood_Helm"	"En hjelm som bærer det kyklopiske ansiktet til Tjernmennenes demoniske krigsgud. Det sies at den Røde Tåke utslettet guden og tok dens symboler som sine egne."
"DOTA_Wearable_Axe_Demon_Blood_Armor"	"Demon Blood Armor"
"DOTA_Item_Desc_Demon_Blood_Armor"	"Tung platerustning smidd i blodet til Tarnsmen-stammens døde guder."
"DOTA_Item_Demon_Blood_Guard"	"Demon Blood Guard"
"DOTA_Item_Desc_Demon_Blood_Guard"	"Når den Røde Tåke slukte de Tusen Tjern, ble innsjøene farget røde av blodet til de drepte. Mange demoner forkledd som lovmakere og prester i den fordømte sivilisasjonen ble også utslettet, og blodet deres blandet seg med blodet til de dødelige de en gang hersket over."
"DOTA_Wearable_Kunkka_Pegleg"	"Pegleg of the Cursed Pirate"
"DOTA_Item_Desc_Pegleg_of_the_Cursed_Pirate"	"Et tapt ben er ingen hindring for Kunkkas hevntørst."
"DOTA_Item_ThreeFold_Mien_of_the_Boar_God"	"Three-Fold Mien of the Boar God"
"DOTA_Item_Desc_ThreeFold_Mien_of_the_Boar_God"	"Villsvinets aspekt bringer helse, virilitet og iver. Det primitive tegnet til fire-syv-tolv."
"DOTA_Item_SevenSealed_the_Fur_Bracer"	"Seven-Sealed the Fur Bracer"
"DOTA_Item_Desc_SevenSealed_the_Fur_Bracer"	"Dette er kun en armbeskytter i pels. Den har ingen interessante aspekter og tilbyr ingen magisk beskyttelse. Allikevel bærer den et stort navn og illustrerer således hulheten i grunnløs stolthet."
"DOTA_Item_TwelveTusks_the_Cape_of_Boars"	"Twelve-Tusks the Cape of Boars"
"DOTA_Item_Desc_TwelveTusks_the_Cape_of_Boars"	"Her har vi ære ganger tolv. Som man ville prydet en verdig krigerkonge, hver tann et triumfsymbol."
"DOTA_Item_FourFangs_the_Swordbreaker"	"Four-Fangs the Swordbreaker"
"DOTA_Item_Desc_FourFangs_the_Swordbreaker"	"Hoggtennene på dette hissige sverdet vil bite seg dypt inn i din fiendes utsatte våpen!"
"DOTA_Wearable_Kunkka_Bandana"	"Pride of the Crew"
"DOTA_Item_Desc_Pride_of_the_Crew"	"Selv kapteinen må fra tid til annen hjelpe mannskapet med skipets daglige gjøremål."
"DOTA_Wearable_Kunkka_Bicorne_Hat"	"Royal Admiral's Bicorne"
"DOTA_Item_Desc_Royal_Admirals_Bicorne"	"En skipsmesters fine båthatt."
"DOTA_Wearable_Kunkka_Tricorne_Hat"	"Tricorne of the Drowned"
"DOTA_Item_Desc_Tricorne_of_the_Drowned"	"En vellaget trekanthatt kantet med gull."
"DOTA_Wearable_Kunkka_Wavecrester"	"Wavecrester"
"DOTA_Item_Pact_of_GorThramak"	"Pact of Gor-Thramak"
"DOTA_Wearable_Axe_Berserkers_Pauldron"	"Berserker's Pauldron"
"DOTA_Wearable_Axe_Berserkers_Helm"	"Berserker's Helm"
"DOTA_Wearable_Axe_Berserkers_Belt"	"Berserker's Belt"
"DOTA_Item_Desc_Berserkers_Belt"	"«La blodbadet begynne.»"
"DOTA_Item_Coat_of_the_Elder_Grove"	"Coat of the Elder Grove"
"DOTA_Item_Horns_of_the_Forest_Lord"	"Horns of the Forest Lord"
"DOTA_Item_Toga_of_the_PeaceBringer"	"Toga of the Peace-Bringer"
"DOTA_Item_Desc_Toga_of_the_PeaceBringer"	"Ganske avslappende."
"DOTA_Item_Luxuriant_ChinFoliage"	"Luxuriant Chin-Foliage"
"DOTA_Item_Horns_of_Noblesse"	"Horns of Noblesse"
"DOTA_Item_Desc_Horns_of_Noblesse"	"Et sett med horn verdige for en konge."
"DOTA_Item_Cape_of_Verdant_Dreaming"	"Cape of Verdant Dreaming"
"DOTA_Item_Runestaff_of_Verodicia"	"Runestaff of Verodicia"
"DOTA_Item_Runed_Ailettes"	"Runed Ailettes"
"DOTA_Item_Lucky_Tooth_Necklace"	"Lucky Tooth Necklace"
"DOTA_Item_Desc_Lucky_Tooth_Necklace"	"Et halskjede av tennene til et sjeldent sjøuhyre."
"DOTA_Item_Captains_Hook"	"Captain's Hook"
"DOTA_Item_Tayrnhelm_of_the_Swordmaster"	"Tayrnhelm of the Swordmaster"
"DOTA_Item_Girth_of_the_Swordmaster"	"Girth of the Swordmaster"
"DOTA_Item_Fluted_Guard_of_the_Swordmaster"	"Fluted Guard of the Swordmaster"
"DOTA_Item_Grip_of_the_Swordmaster"	"Grip of the Swordmaster"
"DOTA_Item_Meranth_Executioners_Blade"	"Meranth Executioner's Blade"
"DOTA_Item_Desc_Meranth_Executioners_Blade"	"Et enegget blad som er perfekt for å raskt fjerne hoder. Eller ben. Eller armer."
"DOTA_Item_Taunt_Snipers_Celebration"	"Hån: Sniper's Celebration"
"DOTA_AnimTaunt_SniperTaunt_Desc"	"Feir et utsøkt drap eller en herlig manøver ved å vise din begeistring til fienden. Han bryr seg sikkert ikke."
