"lang"
{
	"Language"		"danish"
		"DOTA_Tooltip_Ability_holdout_gyrocopter_homing_missile"			"Launch Missile"
		"DOTA_Tooltip_ability_holdout_gyrocopter_homing_missile_Description"	"Affyrer et søgende missil mod et mål."
		"DOTA_Tooltip_Ability_holdout_ancient_apparition_ice_blast"			"Ice Blast"
		"DOTA_Tooltip_ability_holdout_ancient_apparition_ice_blast_Description"			"En eksplosiv kugle af isnende hagl, der kan bruges til at ramme mål overalt i banen."
		"DOTA_Tooltip_Ability_creature_minor_chain_frost"					"Chain Frost"
		"DOTA_Tooltip_ability_creature_minor_chain_frost_Description"		"Kaster en frostkugle, der hopper mellem helte."
		"DOTA_Tooltip_modifier_holdout_gods_strength"						"God's Strength"
		"DOTA_Tooltip_modifier_holdout_gods_strength_Description"			"Basisskade øget med %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%, styrke øget med %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% og nedkølinger reduceret ved drab."
		"DOTA_Tooltip_aura_health_regen"									"Healing Aura"
		"DOTA_Tooltip_witch_buff"											"Angrebshastighedsbonus"
				
		"DOTA_Tooltip_ice_blast_slow"										"Ice Blast-hæmning"
		
		"DOTA_Tooltip_tower_fortification_modifier"							"Fortification"
		"DOTA_Tooltip_creature_slithereen_crush_slow"						"Lammet"

		// Creature names
		"npc_dota_creature_worg"					"Worg"
		"npc_dota_creature_alpha_worg"				"Alpha Worg"
		"npc_dota_creature_wildwing_laborer"		"Tamed Wildwing"
		"npc_dota_creature_dazzle"					"Acolyte of Dezun"
		"npc_dota_creature_hellbear"				"Hell Bear"
		"npc_dota_creature_nyx_assassin"			"Zealot Scarab"
		"npc_dota_creature_morphling_small"			"Lesser Elemental"
		"npc_dota_creature_morphling_big"			"Greater Elemental"
		"npc_dota_creature_bonus_chicken"			"Rooster"
		"npc_dota_creature_warlock_golem"			"Enthralled Golem"
		"npc_dota_creature_warlock"					"Demon Charmer"
		"npc_dota_creature_berserk_zombie"			"Berserk Zombie"
		"npc_dota_creature_berserk_zombie_torso"	"Berserk Zombie Torso"
		"npc_dota_creature_lifestealer"				"Enraged Devourer"
		"npc_dota_creature_kunkka_mini"				"Recruit"
		"npc_dota_creature_kunkka_medium"			"Kaptajn"
		"npc_dota_creature_kunkka_large"			"Flådeadmiral"
		"npc_dota_creature_tidehunter_mini"			"Krill-eater"
		"npc_dota_creature_tidehunter_medium"		"Shark-eater"
		"npc_dota_creature_tidehunter_large"		"Whale-eater"
		"npc_dota_creature_creep_melee"				"I'm a Creep"
		"npc_dota_creature_catapult"				"Chaotic Hurler"
		"npc_dota_creature_mappo"					"Trapper"
		"npc_dota_creature_satyr_soulstealer"		"Soulstealer"
		"npc_dota_creature_bonus_chicken2"			"Baby-Roshan"
		"npc_dota_creature_night_stalker"			"Hunter"
		"npc_dota_creature_enigma"					"The Abyss"
		"npc_dota_creature_luna_mini"				"Tiny Moon Rider"
		"npc_dota_creature_mirana"					"Nightsilver Prowler"
		"npc_dota_creature_techies_bomb_planter"	"Bomber"
		"npc_dota_creature_techies_land_mine"		"Land Mine"
		"npc_dota_creature_techies_suicider"		"Hurtler"
		"npc_dota_creature_alchemist"				"Kemikeren Al"
		"npc_dota_creature_quas_invoker"			"Scholar of Koryx"
		"npc_dota_creature_wex_invoker"				"Mind of Tornarus"
		"npc_dota_creature_exort_invoker"			"Agent of Gallaron"
		"npc_dota_creature_boss_invoker"			"The Dark Magus"

		// Buildings
		"npc_dota_holdout_tower"					"Tårn"
		"npc_dota_holdout_goodguys_fort"			"Tempel"
		"npc_dota_badguys_tower1_top"				"Dark Moon-tårn"
		
		// Round names
		"DOTA_Holdout_Round_Worgs"					"Worgfeud"
		"DOTA_Holdout_Round_Birds"					"Flugten fra hønsegården"
		"DOTA_Holdout_Round_Nyx_Hellbear"			"Nyx Nyx Nyx"
		"DOTA_Holdout_Round_Morphling"				"Tid til Morphling"
		"DOTA_Holdout_Round_Bonus1"					"Festfugl"
		"DOTA_Holdout_Round_Warlock"				"Fra min mørke tryllebog"
		"DOTA_Holdout_Round_Zombies"				"Vi klarer den ikke uden dig"
		"DOTA_Holdout_Round_TideAndKunkka"			"Høje bølger og dybe skibsvrag"
		"DOTA_Holdout_Round_Catapults"				"Tumult med katapult"
		"DOTA_Holdout_Round_Bonus2"					"En høne at plukke"
		"DOTA_Holdout_Round_NightStalker"			"På jagt"
		"DOTA_Holdout_Round_Mirana"					"Kattedamerne angriber"			// A Battle In The Shade
		"DOTA_Holdout_Round_Alchemist"				"Albert var en kemiker"
		"DOTA_Holdout_Round_Techies"				"Det er en Techies-konvention"
		"DOTA_Holdout_Round_Invokers"				"Hvem truer vores koncentration?"	//"Beacons of Knowledge", "A Small Annihilation", "I Must Have Stepped On Something"
		

		"DOTA_Tooltip_ability_item_upgraded_mortar"						"Upgraded Mortar"
		"DOTA_Tooltip_ability_item_upgraded_mortar_Description"			"Det valgte tårn får permanent opgraderet sin skade."
		"DOTA_Tooltip_ability_item_upgraded_mortar_bonus_per_upgrade"	"BONUSSKADE:"
		"DOTA_Tooltip_ability_item_upgraded_barricade"					"Upgraded Barricade"
		"DOTA_Tooltip_ability_item_upgraded_barricade_Description"			"Det valgte tårn får permanent opgraderet sin rustning og HP."
		"DOTA_Tooltip_ability_item_upgraded_barricade_hp_bonus_per_upgrade"		"EKSTRA HP:"
		"DOTA_Tooltip_ability_item_upgraded_barricade_armor_bonus_per_upgrade"	"BONUS-RUSTNING:"
		"DOTA_Tooltip_ability_item_book_of_intelligence"					"Scroll of Intelligence"
		"DOTA_Tooltip_ability_item_book_of_intelligence_Description"		"Giver 5 ekstra intelligens permanent."
		"DOTA_Tooltip_ability_item_book_of_strength"						"Scroll of Strength"
		"DOTA_Tooltip_ability_item_book_of_strength_Description"			"Giver 5 ekstra styrke permanent."
		"DOTA_Tooltip_ability_item_book_of_agility"							"Scroll of Agility"
		"DOTA_Tooltip_ability_item_book_of_agility_Description"				"Giver 5 ekstra agilitet permanent."

		"DOTA_Tooltip_ability_item_tombstone"								"Genopliv holdkammerat"
		"DOTA_Chat_Tombstone_Pinged"										"Død holdkammerat her."


		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload"					"Mana Overload"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload_Description"		"Angriber en fjende med ren magisk essens, hvilket gør stor skade. Hvis fjenden dør i løbet af angrebet, eksploderer energien og skader alle fjender i nærheden."
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overload_Lore"				"Ezalor hidkalder Urharmonien, som overvælder fjenderne med sin kraft."
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overlord_damage"				"SKADE PR. INTERVAL:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overlord_think_interval"		"INTERVAL:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overlord_explode_damage"		"EKSPLOSIONSSKADE:"
		"DOTA_Tooltip_ability_keeper_of_the_light_mana_overlord_explode_radius"		"EKSPLODERINGSRADIUS:"

		"DOTA_Tooltip_ability_holdout_arc_lightning"										"Arc Lightning"
		"DOTA_Tooltip_ability_holdout_arc_lightning_Description"							"Slynger en tordenkile, der hopper gennem fjendtlige enheder i nærheden."
		"DOTA_Tooltip_ability_holdout_arc_lightning_Lore"									"Arc Lightning er Zeus' yndlingsbesværgelse mod ynkelige dødelige."
		"DOTA_Tooltip_ability_holdout_arc_lightning_jump_count"							"ANTAL HOP:"
		"DOTA_Tooltip_ability_holdout_lightning_bolt"										"Lightning Bolt"
		"DOTA_Tooltip_ability_holdout_lightning_bolt_Description"							"Fremmaner en tordenkile der rammer en fjendtlig enhed, hvilket gør skade og mini-lammer. Lightning Bolt giver også True Sight omkring målet i en radius af 900."
		"DOTA_Tooltip_ability_holdout_lightning_bolt_Lore"									"En chokerende straf for rebelske hedninge."
		"DOTA_Tooltip_ability_holdout_lightning_bolt_Note0"								"Du kan afbryde kanaliserende besværgelser og genstande med denne evne."
		"DOTA_Tooltip_ability_holdout_static_field"										"Static Field"
		"DOTA_Tooltip_ability_holdout_static_field_Description"							"Zeus chokerer alle fjendtlige helte i nærheden hver gang, han kaster en besværgelse, hvilket gør skade proportionalt med deres helbred."
		"DOTA_Tooltip_ability_holdout_static_field_Lore"									"Luften knitrer med statisk elektricitet, når Tordenguden går på jorden."
		"DOTA_Tooltip_ability_holdout_static_field_Note0"									"Skaden fra Static Field gøres før skaden fra den brugte besværgelse."
		"DOTA_Tooltip_ability_holdout_static_field_Note1"									"Brug af genstande udløser ikke Static Field."
		"DOTA_Tooltip_ability_holdout_static_field_Note2"									"Kræver ikke enhedssynlighed for at tage effekt."
		"DOTA_Tooltip_ability_holdout_static_field_damage_health_pct"						"%HELBREDSREDUKTION:"
		"DOTA_Tooltip_ability_holdout_static_field_radius"									"RÆKKEVIDDE:"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance"									"Thundergod's Vengeance"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_Description"						"Rammer %num_targets% fjender med et lynnedslag i et stort område omkring Zeus og prioriterer enheder ud fra deres nuværende HP. Thundergod's Vengeance giver også True Sight omkring hver ramte enhed. Hvis en fjendtlig enhed er usynlig, tager den ikke skade, men der gives stadig True Sight ved målets lokation.\n\nOpgraderbar med Aghanim's Scepter."
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_Lore"								"Himlens herre slår ned på alle, der stiller sig imod ham — både nære og fjerne."
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_damage"							"SKADE:"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_damage_scepter"					"SKADE (SCEPTER):"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_true_sight_radius"					"TRUE SIGHT-RADIUS:"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_sight_duration"					"VARIGHED:"
		"DOTA_Tooltip_ability_zuus_thundergods_vengeance_aghanim_description"				"Øger skade."

		"DOTA_Tooltip_ability_holdout_stifling_dagger"							"Stifling Dagger"
		"DOTA_Tooltip_ability_holdout_stifling_dagger_Description"				"Gør mindre ren skade og hæmmer fjendens bevægelseshastighed. Gør halv skade mod helte."
		"DOTA_Tooltip_ability_holdout_stifling_dagger_Lore"					"Den første evne, lært af Slørsøstrene, signalerer ofte en indgående træffer."
		"DOTA_Tooltip_ability_holdout_stifling_dagger_Note0"					"Stifling Dagger kan ikke undviges."
		"DOTA_Tooltip_ability_holdout_stifling_dagger_move_slow"				"%HÆMNING:"
		"DOTA_Tooltip_ability_holdout_stifling_dagger_duration"				"VARIGHED:"
		"DOTA_Tooltip_ability_holdout_phantom_strike"							"Phantom Strike"
		"DOTA_Tooltip_ability_holdout_phantom_strike_Description"				"Teleporterer til en enhed, allieret eller fjende, og giver ekstra angrebshastighed, mens der angribes, hvis det er en fjendtlig enhed."
		"DOTA_Tooltip_ability_holdout_phantom_strike_Lore"						"Mortreds silkeslør er den sidste ting, hendes uheldige mål ser."
		"DOTA_Tooltip_ability_holdout_phantom_strike_bonus_max_attack_count"	"MAKS. ANGREB:"
		"DOTA_Tooltip_ability_holdout_phantom_strike_bonus_attack_speed"		"BONUS-ANGREBSHASTIGHED:"
		"DOTA_Tooltip_ability_holdout_phantom_strike_tooltip_range"			"RÆKKEVIDDE:"
		"DOTA_Tooltip_ability_holdout_blur"									"Blur"
		"DOTA_Tooltip_ability_holdout_blur_Description"						"Phantom Assassin bliver svær at se, idet hun slører sin krop og forsvinder fra fjendens minikort, når hun nærmer sig fjendtlige helte. Nogle fjender misser deres angreb."
		"DOTA_Tooltip_ability_holdout_blur_Lore"								"Meditation gør en tilsløret søster i stand til forsigtigt at forvente sin fjende i kamp."
		"DOTA_Tooltip_ability_holdout_blue_Note0"								"Stabler ikke med andre kilder til undvigelse."
		"DOTA_Tooltip_ability_holdout_blue_Note1"								"Udløses ikke af usynlige helte."
		"DOTA_Tooltip_ability_holdout_blur_bonus_evasion"						"%UNDVIGELSE:"
		"DOTA_Tooltip_ability_holdout_blur_radius"								"RADIUS:"
		"DOTA_Tooltip_ability_holdout_coup_de_grace"							"Coup de Grace"
		"DOTA_Tooltip_ability_holdout_coup_de_grace_Description"				"Phantom Assassin forfiner sine kampevner og opnår en chance for at udføre et dødbringende kritisk slag, der kløver gennem fjendtlige enheder. Phantom Assassin kan også aktivere Coup de Grace for at udføre et garanteret kritisk angreb med sit næste angreb."
		"DOTA_Tooltip_ability_holdout_coup_de_grace_Lore"						"Et guddommeligt angreb. Mortred ærer sine fjender ved at kåre dem til døden."
		"DOTA_Tooltip_ability_holdout_coup_de_grace_crit_chance"				"%KRITISK CHANCE:"
		"DOTA_Tooltip_ability_holdout_coup_de_grace_crit_bonus"					"%KRITISK SKADE:"
		"DOTA_Tooltip_ability_holdout_coup_de_grace_crit_radius"				"KLØVERADIUS:"
		"DOTA_Tooltip_ability_holdout_coup_de_grace_crit_cleave_damage"			"%KLØVESKADE:"
		"DOTA_Tooltip_ability_phantom_assassin_fan_of_knives_Description"		"Phantom Assassin kaster skarpe klinger omkring sig, hvilket gør en procentdel af fjenders maks. HP som skade ved træffer, <font color='#70EA72'>op til maks. %max_damage_initial% skade</font>, og deaktiverer deres passive evner."
		"DOTA_Tooltip_ability_phantom_assassin_fan_of_knives_max_damage_initial"		"<font color='#70EA72'>MAKS. SKADE:</font>"

		"DOTA_Tooltip_ability_axe_battle_rage"									"Battle Rage"
		"DOTA_Tooltip_ability_axe_battle_rage_Description"						"<font color='#70EA72'>Sender den valgte allierede enhed ud i et raseri. Når en enhed er påvirket af Battle Rage, har den livsstjæl med al dens gjorte skade.</font>"
		"DOTA_Tooltip_ability_axe_battle_rage_Lore"								"Mogul Khans raseri driver ham gennem frygtindgydende brutalitet og ødelæggelse."
		"DOTA_Tooltip_ability_axe_battle_rage_duration"							"<font color='#70EA72'>VARIGHED:</font>"
		"DOTA_Tooltip_ability_axe_battle_rage_heal_multiplier"					"%<font color='#70EA72'>LIVSSTJÆL:</font>"
		"DOTA_Tooltip_axe_battle_rage_modifier"									"Battle Hunger"
		"DOTA_Tooltip_axe_battle_rage_modifier_Description"						"Kampens sult stjæler helbred ved skade gjort."
		
		"DOTA_Tooltip_ability_holdout_shackleshot"									"Shackleshot"
		"DOTA_Tooltip_ability_holdout_shackleshot_Description"						"Lænker målet til en fjendtlig enhed eller et træ direkte bag denne. Hvis der hverken er en enhed eller et træ til stede, reduceres lammelsesvarigheden til 0,75. <font color='#70EA72'>Hvis det lykkes for Shackleshot at lænke målet til en enhed, fortsætter den videre til den næste enhed bag den forrige, indtil det maksimale antal mål nås, eller der ikke er nogen enhed eller noget træ at lænke til.</font>"
		"DOTA_Tooltip_ability_holdout_shackleshot_Lore"								"Windrangers variation af bueevner omfatter en pil med tykke, fastgjorte reb som hindrer ethvert flygtende mål."
		"DOTA_Tooltip_ability_holdout_shackleshot_shackle_count"						"<font color='#70EA72'>MAKS. ANTAL MÅL:</font>"
		"DOTA_Tooltip_ability_holdout_shackleshot_Note0"								"Denne besværgelse kan lænke to fjender sammen og derved lamme dem begge."
		"DOTA_Tooltip_ability_holdout_shackleshot_Note1"								"Kan lænke målet til en fjende eller træ ved en afstand på højst 525/500 bag vedkommende."
		"DOTA_Tooltip_ability_holdout_shackleshot_Note2"								"Shackleshot kan ikke undviges."
		"DOTA_Tooltip_ability_holdout_shackleshot_stun_duration"						"<font color='#70EA72'>LÆNKEVARIGHED:</font>"
		"DOTA_Tooltip_ability_holdout_windrun"										"Windrun"
		"DOTA_Tooltip_ability_holdout_windrun_Description" 							"Øger bevægelseshastighed og tilføjer undvigelse af alle fysiske angreb, alt imens fjender i nærheden får hæmmet deres bevægelse."
		"DOTA_Tooltip_ability_holdout_windrun_Lore"									"Tro mod sit navn fortryller Lyralei luftens vindstød til at afværge indkommende angreb."
		"DOTA_Tooltip_ability_holdout_windrun_Note0"									"Hæmningen vil påvirke fjender med magisk immunitet."
		"DOTA_Tooltip_ability_holdout_windrun_Note1"									"Windrun vil ikke undvige projektiler, der blev skabt, før det blev aktiveret."
		"DOTA_Tooltip_ability_holdout_windrun_enemy_movespeed_bonus_pct"				"%<font color='#70EA72'>FJENDE-HÆMNING:</font>"
		"DOTA_Tooltip_ability_holdout_windrun_movespeed_bonus_pct"					"%BONUS-BEVÆGELSESHASTIGHED:"
		"DOTA_Tooltip_ability_holdout_windrun_duration"								"<font color='#70EA72'>VARIGHED:</font>"
		"DOTA_Tooltip_ability_holdout_windrun_radius"								"<font color='#70EA72'>RADIUS:</font>"
		"DOTA_Tooltip_ability_holdout_focusfire"										"Zephyr"
		"DOTA_Tooltip_ability_holdout_focusfire_Description" 						"Windranger leder vinden, hvilket giver hende maksimal angrebshastighed, dog med reduceret angrebsskade og skade fra unikke angrebsændringer og genstandseffekter. <font color='#70EA72'>Med hvert angreb har Windranger en chance for at affyre en ekstra pil mod et mål inden for en radius af den angrebne enhed. Varer 20 sekunder.</font>"
		"DOTA_Tooltip_ability_holdout_focusfire_Lore"								"Lyraleis evne til at bombardere modstandere med en byge af pile er uden lige — selv på bekostning af nøjagtighed."
		"DOTA_Tooltip_ability_holdout_focusfire_Note0"								"Kan bruges på bygninger og magi-immune enheder."
		"DOTA_Tooltip_ability_holdout_focusfire_focusfire_damage_reduction" 			"%SKADEREDUKTION:"
		"DOTA_Tooltip_ability_holdout_focusfire_bonus_arrow_chance" 				"%<font color='#70EA72'>CHANCE FOR BONUSPILE:</font>"
		"DOTA_Tooltip_ability_holdout_focusfire_bonus_arrow_radius" 				"<font color='#70EA72'>RADIUS FOR BONUSPILE:</font>"
		"DOTA_Tooltip_ability_holdout_focusfire_bonus_arrows" 						"<font color='#70EA72'>BONUSPILE:</font>"
		
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord"								"Wall of Discord"
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_Description"					"Fremkalder en væg af forvrænget lys, som skader enhver fjendtlig enhed, der krydser den."
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_Lore"							"Dark Seer kan ikke vende tilbage til sin hjemverden, men han kan kanalisere dele af den prismatiske væg ved at bruge sit mægtige sind og sprede ødelæggelse i fjendens rækker."
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_Note1"							"Danner en 1000-enheder lang mur vinkelret med linjen imellem Dark Seer og målpunktet."
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_damage"							"SKADE:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_discord_duration"						"VARIGHED:"
		"DOTA_Tooltip_modifier_dark_seer_wall_of_discord_target"						"Wall of Discord"
		"DOTA_Tooltip_modifier_dark_seer_wall_of_discord_target_Description"			"Er blevet afbrudt af Dark Seers Wall of Discord."
		
		"DOTA_Tooltip_ability_magnataur_skewer_holdout"									"Skewer"
		"DOTA_Tooltip_ability_magnataur_skewer_holdout_Description"						"Magnus farer fremad og stanger fjendtlige enheder med sin enorme stødtand. <font color='#70EA72'>Kryb</font> ramt undervejs vil blive slæbt mod destinationen og derefter skadet og hæmmet."
